X;Y
0,3965535;-0,9751034
0,3965535;-0,9751034
0,3965535;-0,9751034
0,3965535;-0,9751034
0,568765;-0,9734504
0,8701079;-0,9681907
0,9562058;-0,966688
0,9562058;-0,966688
0,740961;-0,9704449
0,4395994;-0,9740514
0,1383801;-0,9663893
-0,2062636;-1,116489
-0,5383595;-1,032201
-0,6451222;-0,7083689
-0,4216565;-0,5061487
-0,1954832;-0,3069509
-0,1631683;-0,2179974
-0,4084214;0,02385561
-0,6229087;0,2355805
-0,8020819;0,4773521
-1,076207;0,4346301
-1,351461;0,3119147
-1,499156;0,1089006
-1,35811;-0,2053088
-0,9575871;-0,3510878
-0,6480439;-0,3017589
-0,659367;0,02566885
-0,9132145;0,2268605
-1,168085;0,06600488
-1,422556;-0,0954871
-1,389678;-0,3805033
-1,2028;-0,6167694
-0,9347731;-0,8345399
-0,5499868;-0,7519662
-0,4784935;-0,4488068
-0,7041771;-0,2312814
-0,9168805;-0,2644751
-0,9241137;-0,5532101
-0,8107076;-0,6150413
-0,8107076;-0,6150413
-0,8107076;-0,6150413
